word,definition
mu,"Group, band"
much,Whisper
mŭk,"Musty, moldy"
mum,Corner 
mŭn,"Overflow, abound"
mur,"Indecent, obscene"
"nai, anai",Other
naih,reluctantly
"năk, dâk",Traps
nam,Go ahead
năng,Look
năng-nai,"Think, estimate, judge"
"năng, tăng ","Straight, straightforward, frank"
nao,"new, newly, recently"
nâp,"stoop, bow"
nar,Day
"ne, uai ne",spider
neh,"Parsimonious, mean, ugly"
ney,"My daughter, my child"
"nga, nga-ngai",acceptable
ngach,"cool, lukewarm"
ngah,Dawn
"ngâl, long ",Snag
ngam,Sweet
ngâm,"Keep, immerse in"
ngang,Absolutely
ngar,coal
"ngâr, ngôr","tease, vex, molest, bother."
nge,"Newborn, toddler"
ngeh,"Hope, expect"
ngel ngol,"jerk, waver, indecisive, indecision"
ngeng,"Tenacious, stubborn"
nget,Cooled
nget,Green
ngi,Manage
ngieo,left
ngir,"presence, face, in front"
ngoh,"persevere, consistent, perseverance"
se servir d’une chose,strolling
ngoi,shadow 
ngôi,Look up
ngoih,Bite 
ngôŭk,Brain
ngôŭl,shave
"ngôm, dak ",raindrops
ngôr,blushed
ngonh,"averse to, opposed to"
ngor,"Molest, vex, tease"
ngớt,delayed
nguã,"Obey, obedient, docile"
ngŭk,"Superabundant, in abundance"
ngul,Nod 
"ngur, gam ","Dark blue, purple"
"ngũt, ngam ","Very mild, very sweet."
nha,Fishing gear
nhai,Long 
nhak,"Carry, bring, take away "
nhâk,Difficult
nham,"Meat, flesh"
nhân,"Sticky, viscous, easy to adhere"
nhang,Echo
nhao,Wash
nhap,"Defunct, fire"
nhâu,Ornaments
nhek,"Black brown, black"
nhem,taste
nhem,Cry
nhẽn,"Clear, obvious, manifest, proven"
nhéng,"Carry, bring"
nheng,"Tenacious, opinionated"
nher,Winking
nhet,Grass
nhet,Squeeze
nhi,both
nhik,Pickaxe
nhĩp,"Clos, closed"
nhiu-nhau,"Without order, wrongly, inconsiderately"
"nhoët, nhôt",proud
nhôm,Have appearance
nhon,"We, our"
nhon,Hock nerve
"nhon, na ","Laughing, mocking, joking"
nhông,firstborn
nhong tâng,Pipe stem
nhông,proud
nhôm,"Slow, late"
nhorong,"Often, very frequently"
nhui,smoke
nhum,"hairband, hair tie"
nhum,"Cry, shed tears"
nhũng,Pork
nhŭt,Brine
ni,"Woolen fabric, woolen cloth"
"ni, ni na",thoughtlessly
niet,Squeeze 
niô,dare
"no, ho ","There, that"
nôl,"Attempt, try, compete"
"nôl, hla , long ",Pot lid
"nop, hôồnop","Saber, cutlass scabbard"
nôr,Plateau
nonâm,"Nebulous, dark "
"nong, ning-nong",Wandering
nor,"bite, piece, word"
nŭih,"Heart, courage, courageous, daring"
num,Urinate
nung,package
nut,Button
o,Yes
ô,Rooster crowing
ô,"this, these"
oa,"almost, on the verge"
"oây, oei, ou bien oai (suivant les lieux)","stay, sit down, seated"
och,"Decrease, deflate, digest"
oh,"younger brother, younger sister"
ôk,Earthworm
"ôk, dreng ",Pearl necklace
ôl,"deep pain, great sadness"
om,Rotten
ôn,"hide, keep secret"
"on, en-on",stretch
ông,Son in law
ong,Wasp
op,Cook in the pot
ôp,Wash hands
or,bottomland
o,"Boast, divulge, glorify"
ol,"solicit, urge"
om-ro,"Discomfort, indisposition"
on,Improvise
onglôŭng,sausage
onguy,"Durable, solid, strong"
ôploh,downstream
ôrôh,Roots
"orôih, roih",Choose
"orong, rong",hold back
oxeh,Horse
oxu,Snuggle
pa,Again
pâ,"Great difficulty, misery extreme fatigue, very painful"
tôlách,"illuminate, to shine, divulge"
pah,Split
pai,Cook
păi,"Undo, destroy, demolish"
pây,"Blowing, fanning"
pak,break
pal,"Pallor, pale, livid"
pal,"Compensate, indemnify"
palăng,"Just, exactly"
pam,Nasse
pan,bedridden
panah,"Shoot bow, crossbow"
panäm,"Hardworking, active"
panang,"Glass beads, glassware"
panăr,Wing
panât,Sharp
pang,"With, between, in"
păng,listen
păng,"Internode, phalanx"
pang,"Discuss, dispute, contradict, contest"
pap,"Stunted, knotted, withered"
par,Fly
par,Flattened
đât,"extinguish, dry up"
pat,sharpen
peh,Pound
pék,"Pick, cut"
pel,"relentlessly, steadfastly"
pêl,examine
pen,"whine, fuss, grumble"
peng,Three
pet,Pinch
pha,"Other, different"
phai,"Delegate, send engage, incite, persuade"
phây,otter
phal,"lever bar, crowbar"
phal,helpful
pham,Blood
phang,dry
phao,"Firecracker, gun"
phé,"leaves picking, tobacco picking"
phe,"Shelled, hulled rice"
phech,"Break, tear "
pheo,"satisfied, happy"
phi,Satisfied
phiang,quickly
phiel,"Sad, bored, morose"
phik phik,"Suspicious, shady"
phôi,disappointment
phôm,fart
phŭk,"Spoiled, rot"
phung,"Moldy, spoiled"
phŭng,suddenly
pia,cucumber
piân,Season
piel,Plane
pik,Anoint
pim,gizzard
pin,"cradle, carry"
pp,Ignore
"pir, habo ",corn
pit,"depress, press"
piu,Bramer
plă,"By the way, opportunely"
pla,"Flame, blade"
plach,"Lie, liar."
plaih,Breaststroke
plăng,Everything
plang,"offer, sell"
plao,Beach
plat,Moreover
plech,"turn, turn around"
pleh,Detach
pley,Fruit
plenh,"Heaven, firmament"
plet,Advanced
plih,exchange
ploh,"Open, strip, remove"
ploh,erupt
plôŭk,"scrape, scratch"
plo,turn
plôm,Forest leeches
plong,"Still good, almost new"
pluh,Overtake
plŭk,"Arrive suddenly, show up unexpectedly"
po (mot rèngao),Self
pô,Friend
po,dream
põch,Pluck
pohôp,"boast, praise"
pŭk,tenderloin 
pôm,"Alone, unique"
poõl,"Affirm, irritate, exasperate"
põt,"lightly, caressing, gently"
pông,swell
poâng,"enlighten, publish, disclose"
poâp,"Embarrass, confuse"
"pôbenh, ou plutôt tôbenh",fill
"pobleng, poblénh","Frighten, irritate, infuriate "
pobloi (mot rèngao),Joke
pobret,Make progress
pobŭk-pobak,"indiscriminately, inconsiderately, foolishly"
pochah,"break, shatter"
pochang,"delay, postpone, stall"
pôchep,hold
pochit,"engage strongly, order"
pochoh,"dig, plow "
pochol,"Pointing out, pointing at"
pôchôh,"clean, polished"
pochôn,"Endure, tolerate"
pôchôrâm,"novice, rookie, newbie"
pôchôt,"rejoice, cheer up, bring joy"
pochèng,"Swelling, skin inflammation "
pochŭt,"Engage, push, excite, incite"
pôdây,"obtain, acquire"
"podây, podey",rest
"podâl, podol",Implore
podâm,"Five, fifty , fifth"
podam,allign
podao,"attempt, try, experiment, test"
podar,"deceive, lie, defraud"
podek,hurry
podiet,Exploit
podieng,abstain 
podik,enslave
odo,pledge
podô,hide
podoh,burst
podom,adhere
podon,Enlighten
podông,endure
podôh,"cease, halt, interrupt "
pôdok,Converse
podol,inherit
pôdol,Implore
podong,erect
podra,"Scaffolding, trellis"
podrăn,bait
podran,Exert
pôdreék,Intestines 
pôdreu,return
podriu,Wake up
podrong,"Rich, influential"
podrong,consult
podruh,Scare
podrun,Clutter
podŭk,stomach
"poduenh, poduinh","twirl, spin"
podum,"mature, ripen"
podung-podang,Trifle
podŭng,detour
podunh,"delay, linger "
poeh,furuncle
poet,"toast, serve, cheers"
poerih,nourish
pogâm,"Oppress, violate"
pogăn,"cross, pass through"
pogang,"Remedy, medicine, drug"
pôgắp,Betroth
pôge,morning
pogit,estimate
poglâm,Oppress
poglang,intersect
pogleh,"tire, annoy"
pogleng,Silence
pôgloh,"Bring down, reduce, lower"
pogloh,Curse
pogôŭng,stripe
pogol,lengthen
pôgôn,Emphasise
pôgôr,leader
pogot,Confiscate
pogrông,disobey
pôguah,Adorn
pogŭang,Vigilant
pogŭt,bend
pôh,"Exhausted, tired"
poha,Unclench
pohâral,Awaken
pôhxrat,"harass, weary, impose"
"pohârâat, pohât",mess up
"pôhech, pôhek","break, pulverize"
pohel,"vilify, depreciate"
pohiah,"Wear, tear, ragged"
"pohiâk, pohiok",Embarrass
pohiang,"Urge, hurry"
pohiôk,Ponder
pohioch,squander
pohiôt,forget
pohlam,spread
pohlieng,embarrass
pohloh,"enlighten, explain, each"
pohlom,precaution
pohlot,debit
pohngâm,"aggravate, weigh down"
pohngol,soul
pohnông,"On purpose, with premeditation"
pohoach,Dissipate
pohoch,flow
pohon,grow
pohoh,"Empty, clear"
pohôi,"Release, relax, loosen"
pôhôrôch,"Waste, lavish, dissipate."
poiâm,"diminish, lessen"
"pôiao, pojao","Deliver, hand over"
pôie,shrink
pit,"Make smooth, polish"
poïeng,"tease, annoy"
poioch,mislead
"poiŭo, pôjuâ","Provide profit, sponsor"
pojah,"ltercation, arguing, betting"
"pôjai, poma","Speaking, language"
"pôjây, pôjïây",compete
pojâp,Embrace 
pojât,cautious 
pôj e,shun
pôjei,"justify, vindicate"
poji,"hurt, torment"
pojing,"Generate, create, produce"
pôjip,"Join, unite"
pojŭ,rafters
pôjor,"distract, frustrate"
pojôt,show off
pojorou,"Harmonize, blend, Integrate"
pojorŭ,"dig deeper, deepen"
"pojoruh, pôxoruh",reduce
pôjuer,"Avoid, detour "
pôjum,"Together, gathered together, in common"
pojŭp,"Join, unite, reunite"
pok,fall
poka,commission
pokal,"Force, violate, demand"
pôkäl,"adhere, subject"
pokâm,Boast
pôkâp,Adapt
pokeh,Conclude
pôkhin,Encourage
pokhong,Ignite
pokhor,"Tease, annoy"
pokir,"Hide, keep secret, conceal"
pôkla,Separate
poklaih,"make disappear, erase"
pôklâp,to stuff
poklép,Seal
pôklik,deafen
poklŭt,Impose
pokô,"Assume, predict"
pokong,Engage
pokớôp,"pair, match, unite, join"
pokra,"Repair, adorn, mend"
pôkral,Harden 
pôkrăm,"dive, submerge"
pokré,Scare
pokrën,curse
"pokrip, pokrŭp",Emanate
pokro,Desiccate
pokrôŭl,Oscillate
pokuh,bow
polai,Butterfly
polâm,oppress
pôlăm,Spread
"polâu, polou",Sterile 
pôlao,dune
pôlăng,"Exactly, no more, no less, exactly."
polang,Grain
polxp,"Match, assemble "
polap,"tire, harass"
polat,"Flatten, make flat"
pôlek,"Consume, destroy, annihilate"
pôley,Village
poleu,Harassing
pôliem,Make honorary repairs.
pôlieng,"Draw, unsheathe"
polik,"Provoke, vex, seek chicanery, bother"
pôlôet,"kill, knock out"
pôloh,release
poloi,"increase, exaggerate, add"
polou,"Female sterility, sterile"
pôlok,"Consider, examine"
polong,"Beautify, repair"
polui,"Deceive, lie"
polong,"Caress, console, seduce"
polut,"deceive, persuade"
pom,Feign
poma,speak
pomap,suffer
pomau,"think, reflect"
pomem,Sacrifice
poméng,diligently
pon,Dare
pon,wrap
pôn,rest
ponak,Sapwood
pônai,ladle
pônâm,"Laborious, active"
pônãäp,Yield
pône,acceptable
pôneh,Source
pong,Nail
pongal,Marrow
pongâm,Soak
pongneh,Hope
ponglaih,Liberate
pongo,subdue
pongo,Cautious
pongôk,Pour
pongor,Glow
pongot,"Hunger, starve"
pôngôr,palate
pongôt,"Slow, delayed."
pongua,tame
ponhan,Bowl
ponhek,Blacken
pônhen,"explain, prove, clarify"
pônho kg,Enough
ponhoi mat,Side-eye
ponhôm,brag
ponhong,proud
ponhui,smoke
ponhut,Brine
ponil,Full moon
ponông,Enclosure
ponot,Partition
ponu boh,basket
ponung,Chisel
ponuớt,canvas
pool,afflict
poûm,Solemn
pôm,"rot, decay"
popénh,Agitate
popom,pretend
poprang,depart
poprông,fester
popuh,Expel
poput,"deceive, mislead"
pôr,demand
porâm,ruin
porang ba,Winnow
porang,ignite
pôre (pour poere,Resonate
le publier,proclaim
porim,distribute
poring,Accompany
porõ dak,Channel
porônh,entice
porum,concubine
porung,"abort, abortion"
pôtam,Plant
pôtăng,Align
pôtắp,summon
potâu,Buttocks
pôté,gallop
pôté,feign
pôté,lust
poténg,Boil
poteng,Compare
potép,"Adhere, adapt"
pôtiâ,Forward
pôtih,Compare
pôtit,urge
pôtô,"heat, ignite"
potôeét,"finish, complete"
potoi,Lengthen
potŭk,blister
potôm,"sum, total"
potoch ko,"Excite, rouse"
pôtôl,Deliver
potom,start
pôtôn,Recite
potong,declare
potral,stay awake
potrô,adjust
pôtuah,"Divert, dissuade"
potuat,Divert
pouih,"Bring back, recall, return"
pouil,astonish
pouin,"Flex, bend"
pouing,detour
"pouir, pèmé , pèma pouih uir",repeating
pouit,fist
"pouom,  kodŭ",Recline
pouoch,sadden
pouot,"scramble, confuse"
poxa,"Report, denounce"
pôxărâp,"Satisfy, satiate"
pôxe,Tease
"pôxek, poxek pôxôk","Slander, denigrate"
"poxem, poxiem","To feed an impotent person, child ."
"poxere, pôxôre","fine, cause harm"
poxiây,"Justify, excuse, exculpate, exonerate"
poxir,Seal
poxit,conclude
poxô,Advantage
poxôk,Rejoice
pôxôm,"Companions, friends"
poxorâm,Create
pơxôre,"harm, punish"
pôxôreéng,dry
poxorong,Preserve
poxorôp,Adorn
poxoro,"Exhaust, dry up"
pôxôrô,distract
poxorong,uproar
pôxôrũ,"Punish, fine"
poxoruh,"Decrease, attenuate, lower"
poxuh,"Engage, excite, incite, exhort"
poxut,lower
pôxù,Hoard
pră,beans
pră,Garden
prah,Archery
praih,Sober
pray-tông,chick
"pray, hi ",Patchwork
prâl,"Beautiful, handsome, attractive"
prâm,abandon
prăn,Entice
pran,"Strong, robust, vigorous, powerful"
prăng,Drought
prâng,"Depart, leave"
prao,Dragon
prâat,break
pré,Abundant
preh,"Whipping, flog, lash"
prey,Fornicate
prel,sizzle
prel,Seed
preng,Hasten
preu,Withdraw
pri pră,"Plenty, plentiful"
pring,"Defend, protect"
prit,Banana
pro,Eggplants
proch,Ooze
prôk,squirrel
prôh,garden
prong,Decapitate
prông,Shelf
"pru, pruk",Bonfire
prung,Bake
pruih,Spray
pu,responsible
pŭ,beget
pu,"make nest, nest"
pubung,fact
puh,fact
pŭi pũi,smoke
pŭi,Rice
"pŭih, pŭeh","Leg fat, calf"
pŭih,Winter
pŭk,"Meat, flesh"
pŭl,tumor
pun,luck
pung,ferment
pŭng,mortise
pung,"Country, region, county"
pũng,wallow
puol,pumpkin
puôt,shorten
pupi,crumple
pur,Bury
put,Deceive
ra,"Say, tell"
rah,"Untimely, unseasonal, off-season"
raih,"Individually, individual"
râng,"Radiate, ray, shine"
rao,Wash
rap,Watch
râp,"Single, simple"
re,"Resound, shout, creaks."
rel,trim
rep rep,Diligence
rim,each
ring,edge
"ring, rung ",Barren
riô,Aged
riô,Distill
rio,Stroll
"riôh, rôh",Root
rip,"Ask, solicit, pray"
ro,"stream, flow"
rồ,Beautiful
ro,Perceive
roch klak,"Cleanse, purify"
roh,garden
"roh, teh ","Red soil, laterite"
roh,Stack
"roi, roih","Tell, gossip"
roi,Fly
rôk,Follow
rok,Blossom
rôl kopaih,Extract
rol,"Angry, irascible"
rôm,Underside
rom,Carry
rông,"behind the back, afterward, posterior"
rong,"Reserve, save, watch over, preserve, keep, maintain"
rông,Commune
rônh,Desire
rôp,"Seize, take"
rou,mention
ro,Dig
ro,Distill
rô,Hesitate
roâ,appropriate
rôba,Tartare
rôbat,Flexible
rôbâu,countless
robeh,Surplus
robŭn,wire
rodã,Suspension bridge
rôdé,bamboo
rôech,herb
rôeng,wire
rôgah,Fatigue
rôgey,skilful
rôhã,Flimsy
rohang,"Brittle, fragile"
rôhach,Flammable
rohing,Yearn
rôhôi,loose
rohu,greedy
rohung,Mint
roih,crawl
roia,"Water flows, waves, ripples"
rokah,"The rest, the surplus, leftovers"
roki,Raft
rôlâp,Negotiate
rôlăng,Ritual
rolik,"tease, molest"
rôulim,"Storm, typhoon"
roma,fat
rômét,"prepare, arrange"
"romo, lomo",Beef
"romôl, hômŭl",Log.
"romdol, homol","Kon , firstborn."
"romôt, romuot",loathed
"romon, lomuon",soft
"romu, hômũ",vine
romuot,fear
rơnao,"Repair, restore, renew, heal"
rong,Retain
rôngop,"Temperate, moderate, sweet, mellow"
"rôngõt, rônguâ, rônguo",Solitude
ronguet,attach
rôônong,eddy
ronung,Eel
ro,Satchel
ro,Languor
rôri,Tremor
rorik,"anxiety, trance"
rôta,Floodplain
rotah,Leech
roum,Roar
rouon,Expanse
"roxâm, khial ",Gale
ruah,hole
ruet,Twist
ruih,Elephant
"rum, bŭôngai ",amulet
rŭm,Concubine
rŭng,"Ruin, destroyed"
ruôn,Leisure
tach,whip
tah,Pour
tah,thunderstrike
tahar,Windbreak
"tây, pour to ây","thus, therefore"
tâk jâk,"habit, routine"
tã kota,Instantly
tâk,sperm
tâk,Spear
tâk,"Remove, move, divert"
také,Lizard
tal,Trim
tắl,Floor
tam,Yet
tam,"Add, increase"
tâm,pierce
tân,"custom, tradition"
tăng,Bitter
tảng,Pipe
"tăng, kŭl",Knee
tầng,Substitute
tang dô,"Stool, seat"
tang lat,"Flat, flatten "
tanh,"weave, braid"
"tâp, top",profit
tâp,"Strike, clap, slap, smack"
târ xung,Wedge
târ,Bright white
"tar, blồng",Morning Star
tara,Contribute
ta rah,Invitation
tât,"stop, block"
te,gallop
tế,infect
té,Copulate
"tech, tek",sell
teh,Earth
teh,kick
tek,Sell
tek,Slats
tẽk,Hand over
tém,"Hammer, forge"
tem,Nibble
ten,"Quiet, peaceful, modest, honest"
téng,"Close, tighten"
téng,sunbathe 
"téo, tieo",shealth
tép,pinch
tép,Sleep
tér,thunder
thar,approach
thâu,"Maybe, probably"
thén,"reciprocate, compensate"
theng,silence
thet,"Advance, progress"
thôi,Enough
thôi,"Like, imitate, follow the example, learn"
thông,riverbed
thõng,wander
thôŭr krong,Floodplain
thu,blow
thu,"exterminate, destroy, carnage"
thu thum,Fragrant
thung,Gun
ti,"hand, fingers, thumb"
"ti, toti",above
"tiâ, tio","Follow, according to, following"
tien,prick
tieng,Nail
tier,Sharpen
tih,Big
tik,"Shock, get shocked"
til,"Proven, sure, certain"
ting,strain
ting tung,"pair, group"
tiô,Follow
tiôh,Touch
tô,"Warm, hot"
to,"Like, equal to"
tôch,"extend, elongate"
tôet,"end, dead"
tôh,"Melt, flow, pour"
toh,"Hit, knock out"
toih,taper
tôk,Ascend
tôl,support
"tol, tol mat",Blind
tôl,suspend
tôm,"everything, everyone"
tom,"Reach, join"
ton,"Hit, strike "
tông,soak
tong,Puddle
tông,Stealthily
tot,"put on, insert"
toxiet,little
to,towards
to,"Require, demand"
tôă,Drool
tobâ kon,adopt
toba,Branch
toba,Drape
tôbadibal,accompany
"tobăn, topô ",Befriend
tobang,"Show, highlight"
tobat,"remember, reminisce, recall"
tôbâu,Millet
tôbeh,Tame
tobeh,"push aside, knock down."
"tôbich, tôbit",recline
tobla,itch
"tôbla, béngai ",perverted
"tôbleéng, toblénh","frighten, infuriate"
tôblôr,Sliding
tôbôh,indicate
tobrâl,repent
"tôbrât, tôbrot",Withdraw
tôbrŭk,activate
tobuh,"burn, incinerate"
tobŭn,"Promise, commit"
tôchal,Retaliate
tôcheng,"Tilt, lean"
tôchoh,mince
tôchông,Betroth
tôchot,Resolve
todah,"clearly, obvious"
todam,teenager
todih,"dating, date"
todŭng,aid
tôdông,"Rich, fortunate, successful"
tôdông,weave
todra,Observe
todra kơ,"Whereas, since, given that"
tơdrah.,glade
"todrâl, todrôl",end
"todrâng, dodrang",Henhouse
todrang,"Opposite, towards"
todren,Bluster
"todrin, dôdrin",force
todring,Savanna
todring,"Together, simultaneously, simultaneously"
"todrô, dodrôŭ","move, stir, agitate"
todroh,whoop
todrong,"Thing, matter, reason, motive, business"
tôdrou,"Six, Friday"
todrut,push
todua,neighboring villages
toeng,Cauterize
tôgâk,"Serpe, Snake"
togal,Compatible
tôgar,"jealous, envy"
togen,trample
togiet,cuddle
togleh-gloh,Dislocate
toglek,twist
tôgloh,fall
togo,snap
tôgũ,Swelling
tôgum,"In common, common"
toguôt,"Tie, bind"
tôh,Beans
tohak,Split
"tôhech, tôhek",Break
tôhek,Tear
"tôhik, tôhing",quarrel
tohmâach,Greet 
tohmot,Craving
tohngâm,Eight
"tohnio, tohniet",Huddle 
tohôch,Bicker
tohôang,Persuade
tohor,"Dragging, pulling"
tôhul,sulking
tôiéng iông,Diamond
toiŭk dibal,marry
toiu,"Frighten, threaten"
toiŭng,"raise, erect"
toje,Close
tôjôrâm,meet
"tok, túk",light up
toka,Announce
tôkãn,approach
tôkăng,"Contiguous, bordering"
"tokhôl, tokôl",Grisonnet
tôklah,"separate, divide"
tokloh,"fading, bleach"
"tơkơi, dak ",waterfall
tokôi,invite
tokong,branch
tôkrây,Separately
tôkuh,meet
tôkul,Bush
tơl,vow
"tol, tâl",attain
tôlah,Separate
tôlaách,Bicker
tolak,peel
tolech,dispose
tôley,"Rope, tie"
tolép,Matting
tôlieng,shed
tolio,flute
tôlông,"Leap, jump"
tôlôp,Gourd
tolo,Flip
tôluh,overtake
tôlui xŭk,Bald
tom,"Trunk, principle, origin, beginning"
toma,"However, yet, nevertheless, in spite of"
tômal,resow 
tômam,Material
tômâm,breastfeed
tômăn,flat land
tômăng,Observe
tomăr,warn
tomau,think
tomet-don,Meditate
tomo,Rock
tômoh,Stick
tômoi,Foreigners
tomoih,entice
tomong,Lay down
tomông,"Cock, rooster"
témot,Starve
tomôl,"horror, disgust"
tomong,listen
tomul,"Forge, merge"
tomut,"introduce, bring in"
tônai,Elsewhere
tônang,Equal
tonäp tap,"Difficult, laborious"
tôneh,"Lighter, flint"
toney,"Stepfather, stepmother"
tônem,Forge
tôônên,"Quiet, peaceful, modest"
tônet,"Advance, profit, progress"
tong,Hear
tong.,Yes
tongâl,Full
tongâm,"Serious, important, considerable"
tôngë,"Charmed, absorbed, preoccupied"
tongieq,To the left
tôngiet,cold
tôngla,master
tonglaih,let go
tonglang dak,bamboo water pipe
tônglâp,"Box, container"
"tonglih, tongih","Threaten, provoke"
tonglong,"windless weather, calm weather"
tongô,Black dye.
tongoi,Gift-giving
tongôi,gaze
tôngŭih,"moans, complaints"
tônh,"Changing, fickle, unfaithful"
tônhum,Cords
tonieng,"Ankle, nail"
tônieo,kidneys
tonô,Ferrule
tônôŭk,"dock, port"
tônom,Bring together
tonôt,Rub
top,"have profit, good business, succeed"
topa,"True, truth"
topa,Freshwater turtle
topah,split
topai,"undo, fall apart"
topak,break
topang ,palm
tôpang,"Altercation, argument, arguing"
topăr,Fly away
tôpât,"Straight, direct"
topey joréng,bar of wax.
tôpha,Separately
tôpleh,"detach, separate"
toplin,"Short and fat, stocky"
toplông,leaping
topô,Befriending
topo,At the time
topôl,"Band, troop"
topoh,"Seven, seventh"
tôpôk,overthrow
topong,Receive 
toprah,"disperse, scatter"
topung,Flour
tơr,"Slab, cobblestone, stone"
"tôra,  dibal",confide
tôring,"outer edges, outside"
torôk,Thunder
torông,"arried away, lifted"
torong,"mate, copulate, breed"
tôta,"Charge commission, make recommendation"
"totây, tôtey","Shiver, tremble"
tôti,Up
tôtiâ,"follow, pursue"
totim,Cradling child
tôtô,Temperate
tôtoch,Loosen up
totông,"Steal, thief"
totou,"Perjury, Blasphemy"
totong,"shake, shaken"
tôtreh,agitate violently
totug,Suspension bridge
touih,"Bring back, recall, return"
touil,"misunderstand, make mistake"
tôuk,"spread, pour, flow outside"
tôxér,"slide in, push in"
tôxin,"Nine, ninth"
tôxôch,To march
tôxôm,"harmony, content, joyful"
toxul,muddled
toxung,Down
tral,Stay awake
trek,"Audacious, courageous, boastful"
trel,trim
tren,Boast
treng,siphon
trep,peek
tret,polish
treu,Disjointed
trim,sprint
tring,"Pour, transfer"
trioh,Glance
trô,"Well, just, properly"
trô,Enclose
troch,"Sharpe
"
trôk,Mud
trôk,"support, help"
trôm,"Hollow, hole"
trong,"Path, way, road"
trôch,Drunkard
trôl,"Delimb, cut the branches"
trơn,"Add more, overbid, demand more"
tru,"Dove, pigeon"
tru-halong,goiter
truh,"to arrive, to reach"
trum,Indigo
tu,make shelter
tu,"surprised, touched"
"tũ, kapô ","Short horned buffalo, anoa"
tu,Headwater
tuâ,Sorghum
tuaih,Cowl
tuâul,"Witty, funny jokes, puns"
tual,Commune house
tuat,"Contoured, crooked, twisted"
tuenh,Twist
tuh,Give birth
tŭi,"Obey, docile"
tŭk,"Reject, leave aside, abandon"
tŭk bôlŭk,fall backwards 
"queue coupée, privé de sa queue",dead end
tum,Ponds
tun,"Go back, retrograde"
tŭng,"Bend, sag"
tuô,indifferent
tuô,Sorghum
tuong,"Invert, tossing"
tur,punch
turtir,"torn clothes, ragged clothes"
tŭt,"withdraw, retreat"
"tũt, tŭôt","anger, resentment"
tŭk,light up
tŭk,Digging
txă,"Wide, spacious, vast"
txal,"probe, scrutinize, suspect, accuse"
txik,"Acerbic, harsh, acidic "
txil,impatient
txo,Formerly
txut,"Wipe, clean, dust, sweep"
uai,Weave
uaih,scoop
uak,draw
ual,common house
uâl,"Retracing, turning back"
uam,Muzzle
uân,unemployed
uâng,surround
uao,"Think apart, reflect, understand"
uar,"gird, tie around"
uãr,capacity
"uât, uot",Stir
"ué, pleh ",Height
ué,"Contoured, crooked"
uech,"Turn, steer"
uey,"Guard, watch over, conserve, protect"
ueng,"Difficulty, arduous"
uer,"Defend, protect, watch over, protector, defender, advocate"
uet,shoot
uh,No
uih,Go back
uil,"astonished, surprised, embarrassed"
in,"Curve, bend, bend, flex"
uing,"meandering, whirling, dizzy"
uk,spill
ul,"Strong, violent, stinging, biting"
um,winnow
unh,Fire
uo,son
uông,daughter
ug,grow
uoch,"regret, desire"
ugh,"Convene, invite, engage, train"
uoh,"beaten, frequented"
uot,"Mix, stir "
ut,"Cancer, chancre"
xa,"Eat, devour"
xabey,mustard
xai,Broadcast
xake,Wild boar
xakok,Mats
xalang,"jars, dishes, bottles"
"xalôom, halom","safe, healthy"
xâm,"Abundance, in abundance"
xâm,With
xamât,devil
xamât,"pay homage, salute"
xamét,Bat
xân,Separately
xon,"courage, moral strength, patience, constancy"
xanam,year
xăng,Knife
xăng,done
xăng,Sharp sight
xangieo,"Fresh, cold"
xang-nak,"Steep, fast"
",xang-xar",Slipping
xaning,teeth
"xao, dak ",Moods
xap,"Bland, tasteless"
xar,Cymbals
xară,"Apart, separately, private, personal"
xară,Crossbow
xaraih,"Comb, scrape"
xărxndăn,"Continually, constantly, always"
xârâp,Fully satisfied
xar-bar,Unfortunate accident
xarôp,Get dressed.
xâu,"Grandson, great nephew"
xau,"great satisfaction, great relief"
xeh,"Hatch, open"
xek,Lean meat
xele,consider
xem,Birds
"xem, xiem",nourish
xeo,Lever.
xéo,gunpowder
xiă,Habit
xiây,"Free, released, justified"
xiek,sharp
xik,rice wine
"xim, kon ","step son, step daughter"
xioô,"shame, complete waste."
xo,"Old, outdated, dilapidated"
xô,"profit, take advantage"
xoai,Drunk
"xoch, xôet",Insect bite 
xoh,Lungs
xoh,"set fire, burn"
xoh,Empty
xoi,Sacrifice
xoi,Late
xôk,"Hair, fur, feathers"
xôk,cheerful
xok,stir
xol,illuminate
xom,"roll, surround, wrap"
xông,pair
xong,"Polish, plane"
xop,"deflate, sag"
"xô, xŭ","He, him, his"
"xobâu, xôbõu",Plague
xôbôn,fluffy
xobou,Wound
"xobuk, hôbuk, tờmam ",Linen goods
xobur,"Injury, injured"
xodah,"Germinate, open, blossom"
xodang,crack
"xodang, hôdang",The Sedang tribe.
xôdeéng,little finger
xodong,"trust, confide"
xôdor,awake
xodrah,"matchmaker, defender, advocate"
xodrai,"Branch, branching"
xodrâm,well
xodrang,Fingers
xodré,"taboo, curse"
"xodreng, tômam ","Solid, durable"
xodri,Groan
xodro,cicadas
xodrông,"Caterpillar, silkworm"
xogaih,"free, cleared, tranquil"
"xôgâu, hogâu",Bear
"xogôr, hôgor","box, drum"
xogŭât,Convenient
xoing,Sheltered
xok,Braid
xoka,rough
xôkâm,Threaten
"xokăng, hakang","Stiff, inflexible"
xolah,Path
xôleh,"detach, disunite"
xôleng,mysterious
xoleng-ket,"Not meeting on path, because we have strayed, we have deviated."
xolo,"Conversely, on the contrary"
