word,definition
kơlih,greedy
kơlih sa,gluttonous
kơlot,chafed
kơlot,scratched
kơlŏk,zither
kơlŭt,section
'long,wood
kơlŭt 'long,wood
kơmlat,lightning
kơmuh đak,foam
kơna,should
kơna,therefore
kơnă,expensive
kơnă,precious
kơne,mouse
kơnh 'biê̆,afterwards
kơniêh,stroke
kơniêh,claw
kơnït,butt
kơnït,bottom
kơ'năr,daytime
kơ'năr dưng,noon
kơ'nhĕt,cover
kơ'nhĕt,pull
kơ'nhĕt,stuff
kơ'nhip,aim
măt,eye
kơ'nhip măt,close
kơ'nhip,blink
kơ'nhip,blink
kơpaih,flower
kơpaih,flower
kơpal,peak
kông,mountain
kơpal kông,peak
kơpăng wang wơch,echo
kơpen,loincloth
kơpô,buffalo
kơpul,group
bơngai,person
kơpul bơngai,group
đàn,flock
yĕr,chicken
đàn yĕr,flock
kơpung,bat
kơpung,bat
kơpưng,on
'ban,table
kơpưng 'ban,on
kơrăi,separate
kơsaĭ,fall
kơsaĭ đak,spill
kơsep,pluck
kơsep,pluck
kơsĕ,green
kơsĕ,green
kơsĕ,green
kơsơĭ,glide
kơsơ̆,afternoon
kơsơ̆,afternoon
kơsơ̆ hyưm hyưm,late afternoon
kơsu mrơng,hoarse
kơtam,crab
kơtă,at
kơtau,sugarcane
kơtĕi,shrimp
kơtăp,egg
kơtech,broken
ti,hand
kơtech ti,injured
kơtech,short
ti,hand
kơtech ti,amputated
kơthơ,letter
kơthơ,letter
kơtiêng,porch
hnam,house
kơtiêng hnam,porch
kơtiêng,summer
hnam,house
kơtiêng hnam,summerhouse
kơting,bone
kơtoh,drop
đak,water
kơtoh đak,drop
kơtot,fuss
kơtơh,chest
kơtơp,dove
kơtơp,dove
kơtơ̆ng,hear
kơtuah,scold
kơtum,group
kơtum,group
kơpul,group
kơpul,group
kơtum kơtŏng,they
kơtum kơtŏng,relatives
kơwơng,peacock
kơwơng,peacock
kơyuô,because
kơyuô,because
kơ̆i sô̆,km
kơ̆i sô̆,km
kơ̆l,head
kram,bamboo
kram yai,bamboo
kram yai,bamboo
krau awah,shout
kră,old
kră,old
kră pơlĕi,chief
kră sơ̆,ancestor
kră ŭnh hnam,owner
kră ŭnh hnam,host
krau,call
krau,call
krăi,different
krăi,strange
krăi krăi,weird
krăi krăi,unusual
kron,imprison
kron,imprison
krong,river
krong 'Bung,river
krung tơpanh,clan
kruôĭ chanh,lemon
chanh,lemon
kruôĭ 'bŏng,pomelo
kruôĭ 'ngam,orange
kruôĭ 'ngam,mandarin
krŭ,rhinoceros
kua,through
kua,pass
kuă,not
kuă năm,don't
kuaĭ,boring
kuaĭ 'long,carve
kuăng,quick
kuăng,fast
kuăng,fast
kuăng kuăng,agile
kuăng rĕnh,quickly
kue,lame
kue,disabled
kueng kueng,loudly
kuĕnh,gibbon
kuê̆,cinnamon
kuê̆,cinnamon
kumi,cassava
kumi,cassava
kung,also
kung,ladder
kung,bridge
kung tơlĕi,suspension bridge
kuôk,hoe
kuôk,hoe
kŏ kuôl,barking
kŏ,dog
kuôl,bark
kuôl,hug
grôp,embrace
kuôt đon,understand
kuơ̆n,pants
kuơ̆n,pants
kup kơ̆l,bow
kŭ sum,warehouse
kŭ sum,warehouse
kutăng,knee
kơtăng,knee
kư,just
kưt keng,frog
kưt drŏk,toad
kưt drŏk,toad
la,is
lach,scold
lach,blame
lah,usual
lah,regular
lang tang,vast
lanhư,ever
layơ,ever
lap,sick
lă tuk,release
lă tuk,release
lă tuk,spit
lăh,familiar
lat,flat
layơ,when
lanhư,when
leng gong,dawn
leng gong,dawn
lêch,out
lêch hluôi,leave
lêch hluôi,leave
lêh lêm,ghost
lêl,weak
lêl,cowardly
lê̆,know
alê̆,know
liêh,lick
liêm,beautiful
liêm,pretty
oh,sing
liêm,good
oh liêm,sing
ling,forever
ling lang,forever
linh,soldier
linh,soldier
lĭ như,how
lĭ ơ̆i,therefore
lĭ yơ,why
lĭ yơ,how
liêm,beautiful
loi,more
liêm loi,prettier
lŏng,peel
kơdoh 'long,bark
lŏng kơdoh 'long,peel
lô,regretful
lô,regret
lơgah,bait
lơh,always
lơhach,smooth
lơhach,slippery
lơhuêch,whistle
chô̆,tie
lơhông,cage
chô̆ lơhông,cage
lơhông lơhông,loose
lơkah,excess
lơkah,excess
lơkah lơkai,excess
lơlơl,mischievous
lơlơl,mischievous
lơmĕ,fat
lơmek,soft
lơmo,lover
lơmo,cow
lơmo kon,calf
lơmo kon,calf
lơmơt,soft
lơnga,sesame
lơnga,sesame
lơngoh,cold
tơ'ngiêt,cold
sơhngeu,cold
lơngơp lơngơp,damp
lơnguô̆,miss
lơnguô̆,longing
băt,miss
băt,longing
lơngưp,cool
lơngưp,cold
lơ-u,coconut
lơ-u,coconut
lơ̆i,so
lơ̆i,so
lơ̆k,spread
lơ̆k,spread
lơ̆m,at
lơ̆m hnam,home
lơ̆m,at
lơ̆m hnam,home
lơ̆m,in
lơ̆m hnam,in
lu ayăt,enemy
lu bơ̆n,we
lu bơ̆n,I
bơ̆n,we
bơ̆n,I
lu tơtông,thief
lui,obey
luôch,dead
luôch yol,faint
luôih,undress
luôn,swallow
lŭ,flatter
lư,many
lư,crowded
lư lang,plenty
'leh,trapped
'lĕp 'lĕp,carefree
'long,tree
'long,wood
'long adê,bamboo
'long anong,pole
'long arĕn,daughter-in-law
'long arĕn,mulberry
'long bri,trees
'long 'bươ,plough
'long chih,pen
'long chih,pen
'long dơnăng,ironwood
'long dơnăng,ironwood
'long jra,stick
'long jra,crutch
'long kăi,plough
'long kăi,plough
'long kơdrưng,tree
'long sơhmuôn,tree
'long tung,pole
'long tŭl,pole
'long ŭnh,fuel
'long wăk,stick
'lơ̆p,child
'lơ̆p,hat
'lơ̆p 'bềnh,less
'lơ̆p loi adrol,younger
'lơ̆p 'lang,young
'luôn,sip
'luôn đak,sip
'lưng,good
'lưng liêm,good
ma,boy
ma,uncle
mah,enough
tơ̆l,sufficient
mai,sister
mai oh,sisters
maih,gold
mă lĕi,however
mă lĕi,but
mă như,which
kiơ,what
au,shirt
mă 'noh,there
au mă 'noh,that
măng cham,yard
jung kung,field
măng lung măng linh,eclipse
măt,eye
măt khăi,moon
măt 'năr,sun
met,meter
meu,cat
meu bri,lynx
mi,brother-in-law
mih,uncle
minh,one
1,one
minh abơ̆u,thousand
minh abơ̆u,thousand
abơ̆u,thousand
abơ̆u,thousand
minh 'biê̆,bit
minh hĕi,awhile
minh hĕi,awhile
minh hriêng,hundred
minh hriêng,hundred
hriêng,hundred
hriêng,hundred
minh huôi kah,later
minh jĭt,ten
10,ten
minh jĭt,ten
minh jĭt juh,tenfold
minh 'măng,once
minh 'nu,lonely
minh pơnuôt,half
minh pơnuôt,half
mir,field
mir,field
na,field
na,field
mĭ,mother
mĭ yăng,stepmother
mĭ yăng,step-aunt
mon,grandchild
mong,contain
mŏch,clumsy
sa mŏch,steal
mŏk,rice
mŏk lol,wasp
mŏm,suck
mơhiưch mơhiach,hovering
mơkuôi,gecko
mơlơ̆u,embarrassed
mơlơ̆u,ashamed
mơlơ̆u,shy
mơmaĭ,mite
mơmaĭ,tick
mơmŏ,cow
mơmŏ,walk
mơng kơtang,hero
mơnglŏk,firefly
mơ̆m,tray
mơ̆u,smell
mơ̆u,flavor
mơ̆u ding dơl,shiitake
mơ̆u khoi,scorched
mu krŏng,sulfurous
mu krŏng,sulfur
muh,nose
muh 'brư̆m,arrow
muôĭ,immerse
muôĭ,dive
mŭ,vulva
mưih (min),deforestation
mưih kăiI,deforestation
mưt,enter
mưt,crawl
mưt,crouch
'ma,right
gah,side
gah 'ma,right
'măm,swallow
'măng,time
'măng,turn
'măng,door
'măng,door
'măng 'mok,window
'măng năm,trip
'măng tơm,door
'mem bơnat,fond
'mem mơnat,fond
'mem bơnat,close
'mem mơnat,close
'mem truh luôch,loyal
'mĕt,press
'mĕt,squeeze
'mĕt,pinch
'mi,rain
'mi prăng măng sơđah,favorable
'miêu,left
'miêu,left
'mik,smear
'moih dĕk,funny
'moih sŭng,urinate
'moih,greedy
'moih,like
'moih,want
wă,greedy
wă,like
wă,want
'mong,hate
'mơn,with
'mơn,reach
'mơ̆u,stinky
'mơ̆u brư̆,pungent
'mơ̆u brư̆,pungent
'mơ̆u hnong 'ba,straw mushroom
'muôi,insect
'muôi,lizard
jơliêng,insect
jơliêng,lizard
nai,other
nai,friend
nam,male
nam,south
gah nam,man
gah nam,south
nă,uncle
mih,sir
nă ma,relatives
nă ma,relatives
năm,go
năm adrol,ahead
năm arŏng arong,recede
năm 'bŭ atơ̆u,funeral
năm chă,search
năm dal wang,circle
năm tăp dal,around
năm đưng rŏng,follow
năm gơdŭ gơdŭ,retreat
năm sơhmanh,play
năm sriêp,hide
năm sriêp,hide
năng,please
năr dơmuônh kơnh,dayaftertomorrow
nĕ,don't
nĕ,don't
nĕ pă,don't
nĕ pă,don't
ba,rice
nêp,glutinous
ba nêp,glutinousrice
ngal,charcoal
ngal ŭnh,coal
nganh,despondent
ngoh,rice
ngoi,raise
ngoi,raise
ngŏ,see
ngŏ,look
ngŏ,guard
hnhĕi,see
hnhĕi,look
hnhĕi,watch
ngŏ,look up
măt,eye
ngŏ măt,gaze
ngŏ 'boh,see
ngŏ tông,peek
ngơ̆n hang,bank
đum ngui,ripe
ngui,ripe
nham,delicious
nhi,we
nhĭm,cry
nhĭm hmoi,cry
nhĭm ol,sob
nhĭm ol,sob
nhĭm kơsơk,sob
nhĭm kơsơk,sob
plĕi,fruit
nho,grape
plĕi nho,grape
et phep,sip
sơdrô,wine
et phep sơdrô,sip
nhŏm,sip
nhŏm sơdrô,sip
nhơk,shine
nhơk,shine
nhơn,we
nhơ̆i,above
nhơ̆i,above
nhơ̆t đinh,definitely
nhŭng,pig
như như,which
như như,which
mă như,which
mă như,which
nhưng,filling
nôĭ tru,boarding
kŏ,dog
nưih,fierce
kŏ nưih,fierce dog
nưih brư,ferocious
nưih 'moih,dream
nưïh pơdŏk,difficult
nưih sơhngơ̆m,brave
nưih sơhngơ̆m,reckless
nưih tơblah,battle
'nau,new
'nao,fresh
'năk,stake
srŏng,thorn
'năk srŏng,obstacle
'năp,weakness
'năp,vulnerability
'năr,day
'năr abri,yesterday
'năr adrơu,today
'năr brư,bad day
'năr chruh kơ̆l,Tet
'năr chruh kơ̆l,Tet
'năr dơning,tomorrow
'năr dơning,tomorrow
'năr dơnuônh,dayaftertomorrow
'năr dưng,noon
'năr iơ̆u,daybeforeyesterday
'năr jrang,afternoon
'năr kơnă kơnơ̆l,holiday
'năr kơnă kơnơ̆l,holiday
'năr lưng,auspiciousday
'năr minh,NewYear'sDay
'năr minh jĭt,tenth
'năr mưt,twilight
'năr 'năr,daily
'năr sa mŏk,harvestfestival
'năr sơtêt,Tet
'năr tơman,daybeforeyesterday
'năr tơmĕt,daybeforeyesterday
'năr yơ ơ̆u,daybeforeyesterday
'ngam,sweet
'ngĕnh 'ngĕnh,shake
kơ̆l,head
'ngĕnh 'ngĕnh kơ̆l,shake
'ngiêng,hip
'ngil,rib
'ngok,brain
'ngok,brain
'ngot,saw
'ngot,cut
'ngơn,look
'ngơn,look up
'nguk,nod
kơ̆l,head
'nguk kơ̆l,nod
'nguôn akău,hide
'nguôn akău,hide
'nguôn sriêp,secret
'ngưk ich,beetle
'nhă,waste
'nhă pơlai,butterfly
'nhă pơlai,butterfly
'nhau,wash
'nhau phe,rice
'nhăt,have
"'nhem sa, đô sa",food
'nheu,squint
măt,eye
'nheu măt,squint
'nhĕk,suddenly
'nhik,shovel
'nhon,hamstring
jưng,leg
'nhon jưng,hamstring
'nhŏng,brother
'nhŏng mai,siblings
'nhŏng oh,siblings
'nhui,smoke
'nhŭ,sour
'nhŭ,vinegar
'nhŭ,vinegar
'nhŭ,salt
hla chơ'bĕi,pickle
'nhŭ hla chơ'bĕi,pickle
'nhŭ,fish sauce
ka,meat
'nhŭ ka,meatfish sauce
'nhŭ,fish sauce
asĕch,fish
'nhŭ asĕch,fish sauce
'nhŭ hla kai,pickle
'nhŭ hla kai,pickle
'noh,that
'noh,that
'noh,that
ơ̆i,that
ơ̆i,that
ơ̆i,that
'noh hĕi,ago
'nơ̆u,this
'nu,human
'nu,person
oh,sibling
oh kơdiŏng,sister
oh tơhnglo,brother
Ooresol,oral
'yer,chicken
ŏ,crow
'yer ŏ,crow
ŏng mai,wedding
ôi,guava
ôi,guava
ôm,rotten
ôm,rotten
ơh,disgusted
ơh,cloying
ơh,sick
lap,disgusted
lap,cloying
lap,sick
ơĭ,have
ơ̆p,boil
ơ̆p,boil
ơ̆p,cook
ơ̆p,cook
ơ̆p,steam
ơ̆p,steam
ơ̆t,fast
ơ̆t sơhngơ̆m,hold
pah,split
pah,split
pah klau,illness
pah til,longhouse
meu,cat
paĭ,scratch
meu paĭ,scratch
paĭ,scratch
meu paĭ,scratch
kôch,scratch
meu kôch,scratch
kôch,wow
meu kôch,kitten
pal,fly
apal,fly
pal tơjul,dive
pal tơjul,dive
apal tơjul,attack
apal tơjul,attack
pam,that
rôp ka,fish
pam rôp ka,fishing
pang,throw
pang,throw
pang tũk,throw
pă lê̆,unknown
long,tree
păk,fall
long păk,treefall
pắt,off
peh,pound
'ba,rice
peh 'ba,pound
pêng,three
3,three
pĕnh kơpaih,fluffy
phai,must
năm,go
phai năm,mustgo
pham,blood
phang,dry
phang,warm
phau,gun
phe,rice
phe 'ba,rice
phĕi,otter
phĕi,otter
phi kông,pilot
phĭ,full
phĭ phoi,full
phĭ tơnŏ,warmth
phok,mold
phok,moldy rice
phong tep,bedroom
phŏng,bubble
ka,fish
phŏng ka,fish bladder
phŏng 'nôm,bladder
phôm,fart
phông,gong
phông,gong
phu,fragrant
mơ̆u,smell
mơ̆u phu,fragrance
phuk,rotten
asĕch,meat
asĕch phuk,rotten meat
phung,loud
phung phung,noisy
phung phung,loudly
pia đak,cucumber
pia kơ'ne,cucumber
pia mơkai,watermelon
piêng glip,glimpse
piêu,continue
piêu,more
pih,wash
pik,paint
'măng,door
pik 'măng,paint
ping,slope
'ngil,rib
ping kông,mountainside
pinh,demand
pinh,ask
pinh,request
apinh,demand
apinh,ask
apinh,request
pit,banana
pit muh,mask
pit pha,dwarf_banana
pit pdơnang,finger_banana
pĭm tru,goiter
pĭng pŭng,thumping
pla asai,hook
pla,tip
ŭnh,fire
pla ŭnh,flame
pla,tongue
săng,knife
pla săng,blade
pla,tongue
sung,axe
pla sung,blade
plaih ti,span
plaih ti,span
plăt,whole
plăt,whole
plĕi,fruit
plĕi,fruit
plĕi nưih,heart
plĕi puôih,calf
plĕch,wool
plĕch,enter
plĕnh,sky
măt,eye
phim,blind
măt phim,blind
plim măt 'yĕr,nightblind
ploh,tell
ploh,wrong
ploh,unlucky
hmăng,tell
hmăng,wrong
hmăng,unlucky
ploh tơ 'yung,order
ploh tơ 'yung,command
plok,blind
plŏk,open
plŏk,open
plŏk 'biê̆,ajar
plŏk 'biê̆,ajar
plôh,remove
plôh,remove
ploh,invite
plơ̆ plech,repeatedly
pluk,turn on
pluk,jump up
pluk,struggle
pluk,struggle up
pluk 'yung,sit up
pluk 'yung,sit up
plư̆ng plưng,newer
poh,dye
pôk,lift
pơ-ak,sheath
pit,banana
pơ-ak pit,banana sheath
pơ-ak,sheath
hơ'bo,corn
pơ-ak hơ'bo,cornhusk
pơ-ang,newspaper
pơ-ang,report
pơchah,broken
pơchi,finger
pơchi,point
pơchiêp,copy
'bơ̆l,mouth
pơchiêp 'bơ̆l,pout
pơchiêt,creep
pơchiêt,infiltrate
pơdal,turn
pơdal,rotate
pơdê,scorn
pơdê,mock
pơdoh,cradle
pơdoh,cradle
pơdô,lure
pơdô,indifferent
pơdô̆,hide
pơdô̆,hide
pơduôch,acne
pơdơi,rest
pơdơh,rest
pơdơi kah,rest
pơdriêu jên,pay
pơđam,speak
pơđam ăn,tell
pơđăm,year
pơđăm,five
pơđêch adrin,try
pơđêch adrin,try
pơđep,obligatory
pơđơng,drift
pơ-eh,swell
pơgal,fence
pơgal 'măng,doors
pơgal piêu,enclose
pơgal piêu,fence
pơgăn,block
trong,path
pơgăn trong,block
pơgơl,command
pơglŏng,attentive
pơhlum,fake
pơhlum,false
pơhrăn,dare
pơhrăn,intervene
pơhrưng dĩh bơ̆l,yield
pơhư,destroy
pơ'yŭ,threaten
pơjing,develop
pơjuô̆ pơđep,scold
pơjuô̆ pơđep,bully
pơkă,advise
pơkă,remind
pơkau,flower
pơkau 'ba,rice
pơm,do
pơkeh,remainder
pơm pơkeh,finish
pơm,do
pơđĩ,remaining
pơm pơđĩ,finish
pơkep,force
pơkhô,dry
pơkuê̆ pơkuă,sloppy
pơlah,panel
pơlah,brokenrice
pơlang dru,bulbul
pơlang dru,bulbul
pơlĕch,armpit
pơlĕi,trade
pơlĕi,village
pơlĕi pơla,village
pơlêch,produce
pơlêch,produce
pơliêu,bulbul
pơlô,loss
pơlô,lossless
pơlôm hlĕnh,deceitful
pơluk pơlăk,lump
pơluk pơlăk,grumpy
pơlung,console
pơlung,soothe
pơdô,console
pơdô,soothe
pơlŭk,stupid
pơlŭk,destroy
pơm,do
pơm ăn đe 'yŏk 'boi,exemplify
pơm đôi,befriend
pơm đôi,befriend
pơm liêm,show off
pơm năng,try
pơm pơgơm,intimidate
pơm pơlôm,feign
pơm sa,business
pơm sơ̆i,build
pơm sơ̆i,build
pơnai,oar
pơnai,paddle
pơnai chơraih,match
pơnal,wing
pơnar,blade
pơnam,diligent
pơnam,diligent
pơnam deh,diligent
pơnang,areca
pơnang,areca
pơnăt,jackfruit
hơniê̆,poisonous
pơngot,hungry
pơnhan,bowl
pơnhan grông,bowl
pơnhan ken,bowl
pơnhuôi,pangolin
pơnhuôi,pangolin
pơnil hnam,wall
pơnŭ,pile
pơ'nhau nưih,reconcile
pơ'nuôl,roof
hnam,house
pơ'nuôl hnam,rooftop
pơ-ol,choking
pơ-ŏ,mango
pơ-ŏ,mango
pơsau,son-in-law
pơsau,groom
pơsau,son-in-law
pơsĕi,iron
sem,bird
pơsel yang yai,swallow
sem pơsel yang yai,swallow
yang yai,swallow
sem yang yai,swallow
pơsiêm,feed
ngoh,rice
pơsiêm ngoh,feed
pơsoh,lung
pơsuh,paper
pơtăm 'ba,plant
pơtăm,plant
long,tree
pơtăm long,plant
pơtău,buttocks
pơtep,weld
pơtep,attach
pơtep,paste
pơtho,lecture
pơtho,teach
pơtho akhan,advise
pơtho akhan,educate
pơuh,swell
pơuh,swell
pơtăng,swell
pơtăng,swell
pơuh nưih,bold
pơtŏ,heat
pơtŏ,heat
pơtŏk,burn
pơtŏk,burn
pơtơm,begin
pơtơm lêch,born
pơtơ̆p,teach
pơtơ̆p,teach
pơtơ̆p pơtho,guide
pơtơ̆p pơtho,show
pơtơ̆p thê jŭk,exercise
pơtuôch,boil
pơtĕng,boil
pơ-ung,coax
pơkiu,coax
pơdwal,proud
pơdwal,proud
pơyat,swell
pơyat,swell
pơ̆k,fall
pơ̆n,dare
pơm,do
pơ̆n pơm,dare
pra,floor
hnam,house
pra hnam,floor
pra hnam nh,kitchen
prah,shoot
praih,array
praih,spread
pran,strong
pran,healthy
prau,dragon
prau,dragon
pre hơ,they
pring,glare
măt,eye
pring măt,dazzling
pro,grind
pro 'nhŭ,tomato
prok,squirrel
prok,squirrel
prol,wash
kơ̆l,head
prol kơ̆l,shampoo
prơng tep,basin
prơng tep,basin
pui,happy
puôi,secret
puôn,four
puôn,four
4,four
pŭ,carry
pŭ,carry
rai,carry
rai,spill
rai,sow
raih,display
raih,display
rang,bright
rang agah agơi,dazzling
rang jơdah,bright
rang liêm,bright
răp,room
răp,prevent
re,call
reh,play
rĕk rĕk,ragged
rĕnh rê̆,immediately
rĕnh rê̆,immediately
rơ̆u,wake
ren,forge
săng,knife
ren săng,forge
riêh,root
riêng,hunt
riêng,hunt
năm riêng,hunt
năm riêng,hunt
riêng hơyô,hunt
riê̆,tunnel
kơting,bone
riê̆ kơting,broth
riê̆,simmer
kơting,bone
riê̆ kơting,bone broth
ring khing rang khang,rumbling
ring ring,bustling
roi,tell
rok,along
rok jih,around
rok jih,around
rong,raise
rong sư̆,care
rŏch,operate
rôp,catch
rôp,hold
rôp,grab
rôp hnhĕi,lottery
rôp ti,handshake
rôp 'yŏk,snatch
rôp 'yŏk,capture
rơdah,light
rơdu,slack
rơdu,sag
rơh,choose
rơret akău,shudder
rơ̆u,wave
ruh,bare
hla,leaf
ruh hla,leafless
ruh rok,pale
ruôh,drain
đak,water
ruôh đak,drain
ruôih,elephant
ruôt,buy
ruô̆ al,tighten
ruô̆ al,clamp
sa,eat
sa et,eat
sa uĕi,live
sang glang,beautiful
sap,bland
să,wide
să,spacious
să lang tang,vast
sĕi,mill
ba,rice
sĕi ba,mill
săng,knife
săng chơkep,scissors
săng chơkep,scissors
săp,vinegar
pit,banana
săp pit,vinegar
săt,thrifty
său,grandchild
sem,bird
sem bri,animal
sem bri,animal
sem blang kĕi,ring
sem chap,sparrow
sem chap,sparrow
sem prum,sparrow
sem prum,sparrow
sem diê̆,parrot
sem diê̆,parrot
sem hlum,kingfisher
sem hlum,kingfisher
sem klang,hawk
sem kơtơp,dove
sem kơtơp,dove
sem kơwơng,peacock
sem kring,phoenix
sem lơ-oh,owl
sem prum,sparrow
sem chap,sparrow
sen,lotus
sen,lotus
seng suk,shovel
sêp,harvest
hla 'nhem,vegetable
sêp hla 'nhem,harvest
siêm rong,care
siêm tơme,care
sil,dig
teh,soil
sil teh,dig
sil,excavate
teh,earth
sil,tight
sĭch,astringent
sĭn,ripe
asĕch,meat
asĕch sĭn,cooked
sĭn,mature
9,nine
sĭt,step
sĭt au,stage
sĭt,sew
au,shirt
sĭt au,shirt
sĭt 'boi,embroidery
so,dredge
soh jrênh,fragrance
soh,prick
soh ŭnh,stitch
soh,burn
ŭnh,fire
soh ŭnh,ignite
sŏk,fur
sŏk kang,beard
sŏk kơ̆i,hair
sŏk miêm,whisker
sŏk miêm,mustache
sôk,vole
sôk,vole
sơdrô,wine
sơdrô triêng,wine
sơđa,shaman
sơđiêng đak,stream
sơđiêng đak,crevice
sơgiêng 'long,branch
sơhmanh,play
sơhmanh,game
sơhmĕch,mosquito
sơhmĕch wông,mosquito
sơhngeu,numb
sơhngeu,numb
sơhngeu sơngot,cold
sơhngliêng,shoulder
sơhngơ̆m,breath
sơlih,change
au,shirt
sơlih au,change
sơlih,change
au,shirt
sơlih au,change
sơlung atău,grave
sơlung atău,grave
sơm,with
sơm,and
sơm,equal
sơmah,offer
sơmah,pray
sơmah,pray
sơmah sơmat,worship
sơmah wă tuk atơ̆u,funeral
sơn,pillow
sơn,raise
sơnăm,year
sơnăm,age
sơnăm 'nau,nextyear
sơnăm 'nau piêu,yearafternext
sơnăm ơ̆u,thisyear
sơnăm rŏng,lastyear
sơnĕnh,tooth
sơnglŏng,star
sơnglŏng,star
sơnglŏng bơgê,morningstar
sơnglŏng tong măng,eveningstar
srah,strike
sơrăt,manner
sơreh,peel
sơreh,sugarcane
kơtau,peel
sơ̆,stir
ngoh,rice
sơ̆ ngoh,stir
sơ̆ kih,formerly
sơ̆p hla bơ-al,book
srah,thresh
ba,rice
srah ba,thresh
srang,shoot
tŏ,sun
sră,mat
sră,shine
sră,bow
sră,crossbow
sră,rice
Srĕ,carve
srê,debt
sriêng,dry
sriêng,dry
sriêng hŏnh,withered
sriêng sreh,arid
sriê̆,dry
sring,chain
sring srung,dragonfly
srok,fish
ka,fish
srok ka,fish
srôp,marry
srôp kơdiŏng,marry
srôp tơhnglo,marry
srơ̆p,bean
srơ̆p,bean
srơ̆p,wear
au,dress
srơ̆p au,wear
srơ̆p hlŭt,clothing
sruôih,early
sual,drunk
sơdrô,alcohol
sual sơdrô,drunk
sum,warehouse
kŭ sum,warehouse
sun,row
'long,tree
sun 'long,grove
sŭng,urinate
sung,axe
sung,axe
suôn,up
sut,bee
sut,bee
sut,erase
sut,wipe
sut,wipe
sŭp,cover
sŭp,cover
sŭp,wear
sưt rŏng,return
wih rŏng,return
sư̆,place
sư̆,put
sư̆ kah,save
sư̆ kah,reserve
sư̆ akap,trap
sư̆ amăn,hoard
sư̆ dĕng,hoard
sư̆ ăn,yield
sư̆ anhơl,grateful
sư̆ lơ̆m klak,brood
sư̆ tơ'boh ăn kơđe,display
tach,slap
tach đak,bail
tak,teach
tak,spear
takơl,fall
takơl,fall
tam,manage
tanh,weave
tanh,knit
tap,pat
tap,slap
ta,spread
ta,unload
tăl,class
tăng,bitter
tăp,poke
tăp,adjoin
tăp,adjacent
tơ̆p bơ-al,break
tăp dal,around
tăp trôm,pierce
tău hoa,train
teh,land
teh bri,country
teh brư̆,barren
teh chuôh,sand
teh dal hnam,garden
teh đak,country
teh đak,nation
teh liêm,fertile
teh kơtă,clay
teh tơmăn,plain
teh tơmăn,beach
teng tong,unstable
tep,sleep
tep hyơt,dormant
tep hlêk,soundly
tep pok,soundly
tep hlơ̆k,dream
tep hlơ̆k,sleepy
tĕch,sell
tĕch bơdro,trade
tĕk wĕk,larva
theng,checkpoint
theng,catch
theng,crane
thê lưng,good
thoi,follow
thŏng,boat
thô̆ pŭn,lucky
thô̆ pŭn,lucky
thô̆ ai,perhaps
thô̆ ai,lucky
thu,thirsty
thu đak,thirsty
lơhing,thirsty
lơhing đak,thirsty
thuô,lose
thuôi,aim
phau,gun
thuôi phau,aim
thuôk kơ'ne,bait
thuôk kơ'ne,poison
thuôk ngoi phau,powder
kial,wind
thuôi,blow
kial thuôi,blow
thư năng kah,taste
thư̆,thing
thư tơpơh,kind
ti,hand
tiê̆,follow
tiêm,inject
bơgang,medicine
tiêm bơgang,inject
tiêng,tail
tiêng jok,orchid
tiêng jok,orchid
tiê̆,follow
tiê̆,chase
tih,big
tih,big
grông,large
grông,big
tol,length
ton pơnưng,drum
tong măng,midnight
măng,night
tong sră,crossbow
top,fold
top,fold
tŏ,hot
tŏ,sun
hnam,house
tŏ hnam,house
tŏ,a
tŏ,a
tŏ,a
drŏng,a
drŏng,a
drŏng,a
hlak,a
hlak,a
hlak,a
pôm,a
pôm,item
pôm,animal
gĕl,thing
gĕl,item
gĕl,animal
tŏ,animal
'yĕr,chicken
tŏ 'yĕr,chicken
tŏ,animal
kơpô,buffalo
tŏ kơpô,buffalo
tŏ,rock
tơmo,stone
tŏ tơmo,rock
tŏ deh,hot
tŏ deh,hot
tŏ chơ-uh chơ-ông,hot
tŏ phang,drought
tŏk,wade
đak,water
tŏk đak,wade
tŏm,stab
tôn chỉnh,gong
tôn kơlok,play
tơbang,display
tơbla măt,dizzy
tơblah,fight
tơblah,war
tơbluôch,slip
tơ'băl,pliable
tơ'băng,bamboo
tơ'bŏch,scab
tơ'bơ̆l,reply
tơ'bơ̆l,answer
sem,bird
tơ'bơ̆l,sing
sem tơ'bơ̆l,sing
tơsi,sing
sem tơsi,sing
sem,bird
tơsi,sing
tơ'bra,branch
tơchoh,chop
tơchuang,diagonal
ti,hand
tơchuang ti,row
tơdăm,youth
tơdrong,story
tơdrong,matter
tơdrong,thing
tơdrong,work
tơdrong diêng diêu,custom
tơdrong kră sơ̆,fairytale
tơdrong sơmĕnh,toy
tơdrong,song
oh,sing
tơdrong oh,song
tơdrong kơdô̆ suang,dance
tơdrong joh,tune
tơgel,slope
tơgel,pass
tơgong,leg
tơgŭm,help
tơhlăk,stuck
tơhlăk,blocked
tơhlăk,clogged
tơhlông,bolt
'măng,door
tơhlông 'măng,bolt
tơhlông,bolt
'măng,door
tơhlông 'măng,door bolt
tơhlông,install
'măng,door
tơhlông 'măng,install
tơhngam,eight
8,eight
tơhnglo,man
tơhnglo,male
tơhnglo,husband
tơhning hla 'long,shade
tơja bơluk bơluk,ramble
tơja 'beh,whisper
